tiltX,tiltY,tiltZ,accAngleX,accAngleY,accAngleZ,gyroX,gyroY,gyroZ,Click,RotDir,RotVal
-0.08,-87.05,85.60,87.05,-14.78,0.25,136,-1014,-2636,0,NA,0
-1.61,-85.34,85.22,85.34,-76.02,0.34,-628,783,-1231,0,NA,0
-2.90,-84.65,84.49,84.65,-85.00,0.65,573,302,-2797,0,NA,0
-1.59,-83.93,85.10,83.93,-71.97,0.32,1481,-1203,-1275,0,NA,0
-0.04,-86.32,85.21,86.32,-6.36,0.22,1244,-484,-1174,0,NA,0
-1.19,-87.72,86.25,87.72,-76.07,0.61,296,-1136,-1056,0,NA,0
0.15,-84.56,83.58,84.56,14.10,0.19,-114,-957,-536,0,NA,0
4.68,-6.40,89.93,6.40,85.20,0.53,300,-105,-693,0,NA,0
-6.54,-86.49,79.32,86.49,-84.40,0.46,1187,-1670,-884,0,NA,0
-5.77,-67.91,88.71,67.91,-85.97,0.54,-556,23,-3929,0,NA,0
1.35,-85.82,82.48,85.82,79.91,0.47,75,473,-1047,0,NA,0
0.37,-87.30,82.97,87.30,37.82,0.62,-60,121,-489,0,NA,0
-6.37,-88.79,63.29,88.79,-85.11,0.54,105,737,-803,0,NA,0
-0.27,-87.73,83.32,87.73,-30.70,0.52,250,487,350,0,NA,0
-1.89,-85.27,84.12,85.27,-86.50,0.55,446,425,-124,0,NA,0
-4.80,-86.37,81.93,86.37,-83.55,0.63,359,732,-307,0,NA,0
1.36,-84.58,83.84,84.58,73.08,0.61,663,1349,669,0,NA,0
1.36,-87.30,84.07,87.30,75.82,0.62,746,639,-260,0,NA,0
-2.10,-86.99,81.82,86.99,-87.81,0.63,348,592,1522,0,NA,0
-0.72,-87.19,83.97,87.19,-60.99,0.54,-1322,-1014,-45,0,NA,0
-0.42,-86.23,82.85,86.23,-61.20,0.42,644,903,52,0,NA,0
-1.02,-83.52,85.34,83.52,-73.08,0.55,-529,521,-638,0,NA,0
-0.15,-88.37,83.62,88.37,-82.67,0.12,418,522,331,0,NA,0
0.38,-84.29,84.44,84.29,31.06,0.61,555,21,-44,0,NA,0
-3.62,-82.54,85.80,82.54,-85.08,0.63,-654,329,-556,0,NA,0
-2.54,-13.76,89.85,13.76,-78.38,0.40,-901,-207,-1404,0,NA,0
-0.60,-86.31,84.23,86.31,-46.82,0.24,58,179,-50,0,NA,0
-0.31,-86.53,80.36,86.53,-38.26,0.08,71,757,-358,0,NA,0
0.24,-85.99,86.52,85.99,35.29,0.41,299,493,-860,0,NA,0
-2.59,88.88,99.59,-88.88,-84.49,0.17,50,742,-605,0,NA,0
-0.50,-84.86,84.27,84.86,-67.25,0.54,173,590,-92,0,NA,0
-0.21,-84.06,84.60,84.06,-22.07,0.21,620,396,44,0,NA,0
0.18,-88.16,82.41,88.16,17.13,0.61,14,334,-147,0,NA,0
0.04,-88.96,85.50,88.96,4.74,0.50,-26,-258,633,0,NA,0
-2.42,-83.09,85.05,83.09,-88.68,0.51,146,486,-1410,0,NA,0
-2.72,-86.22,81.68,86.22,-77.82,0.44,580,27,-1054,0,NA,0
2.43,-87.78,76.62,87.78,79.20,0.41,-869,-2727,1051,0,NA,0
-2.42,-86.21,82.26,86.21,-78.07,0.29,-1274,534,-78,0,NA,0
-1.06,-89.39,68.09,89.39,-74.21,0.54,2906,2661,780,0,NA,0
0.23,-85.55,83.32,85.55,20.96,0.43,268,148,536,0,NA,0
2.18,-84.20,83.80,84.20,80.10,0.32,804,1118,903,0,NA,0
-1.81,-85.55,83.33,85.55,-72.08,0.26,476,784,681,0,NA,0
0.04,-89.54,83.69,89.54,8.40,0.29,206,672,118,0,NA,0
0.58,-86.78,84.66,86.78,44.70,0.38,193,327,1373,0,NA,0
-1.21,-84.05,84.29,84.05,-63.05,0.58,576,1030,1562,0,NA,0
-0.41,-85.83,84.42,85.83,-60.69,0.46,436,639,358,0,NA,0
0.10,-87.05,82.00,87.05,9.71,0.43,-381,-84,307,0,NA,0
-1.88,-85.03,83.00,85.03,-84.90,0.61,-2811,-1384,2985,0,NA,0
4.35,-86.06,81.73,86.06,83.67,0.09,-3415,-2825,2207,0,NA,0
-1.02,-89.44,82.53,89.44,-61.43,0.41,7554,-637,1713,0,NA,0
-2.14,-81.03,86.80,81.03,-89.19,0.03,-487,4486,1277,0,NA,0
-2.41,-88.93,75.02,88.93,-77.29,0.58,-340,-23,1052,0,NA,0
0.35,-86.54,85.36,86.54,87.80,0.41,180,445,3523,0,NA,0
-0.94,-86.41,82.71,86.41,-57.79,0.54,211,-9,27,0,NA,0
0.33,-89.16,84.47,89.16,38.55,0.61,-22,204,38,0,NA,0
0.23,-85.22,83.38,85.22,19.90,0.43,27,358,11,0,NA,0
-0.21,-87.89,83.73,87.89,-26.00,0.47,51,270,-10,0,NA,0
0.06,-88.39,84.19,88.39,6.74,0.45,92,232,12,0,NA,0
0.39,-84.25,83.96,84.25,34.43,0.52,82,254,-7,0,NA,0
-0.09,-86.27,84.24,86.27,-8.37,0.46,89,281,7,0,NA,0
0.16,-84.96,84.31,84.96,16.72,0.25,84,287,24,0,NA,0
-0.14,-87.54,84.39,87.54,-15.78,0.48,66,296,23,0,NA,0
0.03,-86.31,84.11,86.31,3.62,0.23,70,282,-29,0,NA,0
0.41,-85.18,84.05,85.18,44.98,0.50,101,261,-3,0,NA,0
-0.18,-84.41,84.09,84.41,-17.07,0.30,89,277,-2,0,NA,0
0.17,-85.80,83.58,85.80,21.41,0.17,86,319,22,0,NA,0
0.45,-84.42,83.73,84.42,48.06,0.44,55,303,28,0,NA,0
0.32,-84.50,84.45,84.50,27.11,0.55,77,265,-35,0,NA,0
2.93,-87.11,83.12,87.11,81.67,0.58,45,266,19,0,NA,0
0.11,-88.84,84.14,88.84,13.43,0.48,57,289,39,0,NA,0
0.07,-88.99,84.42,88.99,16.61,0.23,103,291,-18,0,NA,0
0.13,-86.04,83.84,86.04,15.52,0.24,49,303,16,0,NA,0
0.22,-87.61,84.64,87.61,86.42,0.22,56,299,0,0,NA,0
-0.11,-86.11,83.59,86.11,-15.32,0.06,67,305,-2,0,NA,0
-0.29,-86.49,84.25,86.49,-31.43,0.53,74,273,-4,0,NA,0
-0.29,-87.13,84.00,87.13,-28.74,0.61,80,288,5,0,NA,0
0.00,-87.44,84.68,87.44,0.00,0.45,83,281,7,0,NA,0
0.41,-86.01,84.11,86.01,42.18,0.61,65,290,11,0,NA,0
0.43,-85.42,84.20,85.42,59.37,0.48,50,271,-6,0,NA,0
-0.20,-88.21,83.73,88.21,-18.28,0.62,86,289,-6,0,NA,0
-0.24,-87.27,84.06,87.27,-36.65,0.37,79,278,33,0,NA,0
-0.21,-86.56,84.17,86.56,-21.68,0.50,80,292,-26,0,NA,0
-0.03,-84.78,84.60,84.78,-3.27,0.03,60,272,16,0,NA,0
-0.04,-88.12,84.32,88.12,-5.02,0.44,83,295,-24,0,NA,0
0.31,-86.85,84.05,86.85,31.23,0.58,76,286,20,0,NA,0
-0.01,-88.90,84.12,88.90,-1.67,0.47,83,283,14,0,NA,0
0.24,-85.81,84.38,85.81,22.82,0.52,87,290,-11,0,NA,0
0.39,-84.37,83.83,84.37,37.85,0.44,85,283,0,0,NA,0
-0.17,-88.13,84.07,88.13,-29.50,0.33,73,302,24,0,NA,0
0.06,-88.89,84.19,88.89,6.96,0.45,77,290,2,0,NA,0
0.17,-87.99,84.48,87.99,30.17,0.32,70,276,6,0,NA,0
0.13,-86.17,84.23,86.17,12.45,0.46,72,279,-11,0,NA,0
0.24,-87.32,83.61,87.32,56.99,0.22,105,305,-2,0,NA,0
-0.04,-86.40,84.16,86.40,-4.16,0.45,80,304,-9,0,NA,0
0.10,-86.80,83.91,86.80,11.88,0.36,93,272,13,0,NA,0
-0.17,-86.42,84.38,86.42,-17.00,0.49,70,272,-7,0,NA,0
0.10,-89.01,83.86,89.01,11.93,0.47,74,285,-10,0,NA,0
0.21,-85.55,84.10,85.55,24.21,0.31,82,328,-1,0,NA,0
0.06,-89.26,83.86,89.26,6.86,0.47,80,353,10,0,NA,0
8.24,-78.95,87.90,78.95,87.25,0.56,10915,14822,-1003,0,NA,0
10.95,88.30,101.45,-88.30,88.47,0.44,30126,21087,-9234,0,NA,0
0.05,89.27,114.03,-89.27,5.98,0.29,26643,27758,-8839,0,NA,0
38.31,88.77,119.03,-88.77,88.93,0.76,30403,32767,-8761,0,NA,0
45.00,90.00,131.20,-90.00,89.97,0.03,30573,23121,-7608,0,NA,0
147.08,-86.68,-76.56,86.68,89.07,179.45,17873,18701,-3266,0,NA,0
38.68,89.26,130.10,-89.26,88.93,0.76,-1383,1529,-3248,0,NA,0
85.24,88.95,172.55,-88.95,89.43,6.68,-11862,-995,-5234,0,NA,0
59.31,89.55,161.07,-89.55,88.75,2.04,-3119,-3419,-3106,0,NA,0
50.56,89.30,145.23,-89.30,89.81,0.49,-263,-1560,1853,0,NA,0
50.93,89.18,146.01,-89.18,88.89,0.98,-1431,757,1185,0,NA,0
53.98,89.43,146.84,-89.43,89.66,0.83,-3309,-2127,986,0,NA,0
37.84,89.58,133.80,-89.58,89.15,0.42,875,4112,-120,0,NA,0
50.58,89.32,148.24,-89.32,89.16,0.81,-5705,-888,480,0,NA,0
44.81,89.60,146.03,-89.60,89.18,0.62,-4773,-1589,1347,0,NA,0
42.23,89.93,146.60,-89.93,88.78,1.10,-5481,-3543,1512,0,NA,0
-99.96,89.51,-167.12,-89.51,-88.89,177.55,-9576,10122,-121,0,NA,0
25.94,89.42,140.16,-89.42,88.95,0.46,-8286,4381,-5175,0,NA,0
9.37,89.62,138.59,-89.62,87.68,0.44,-9870,-827,-8306,0,NA,0
27.74,89.34,130.48,-89.34,89.55,0.32,-1257,4544,-3432,0,NA,0
12.67,88.88,144.76,-88.88,84.97,1.28,-855,2683,-7855,0,NA,0
17.42,88.68,114.87,-88.68,88.90,0.51,9735,13689,-8315,0,NA,0
22.79,89.73,155.61,-89.73,86.91,1.62,-3481,5505,-6565,0,NA,0
24.56,89.21,148.10,-89.21,88.39,1.11,-8941,-7451,2216,0,NA,0
30.97,89.98,151.39,-89.98,89.70,1.22,-4593,-9081,-834,0,NA,0
15.31,89.68,148.89,-89.68,88.31,0.54,-642,-8259,1693,0,NA,0
22.21,88.38,123.86,-88.38,87.81,0.17,-3077,-10657,-3596,0,NA,0
14.62,89.08,130.90,-89.08,87.21,0.11,4638,-2148,11875,0,NA,0
4.05,89.26,112.43,-89.26,85.70,0.22,-2356,-4857,1011,0,NA,0
27.83,89.94,121.57,-89.94,88.98,0.70,-6278,-7099,-91,0,NA,0
8.26,89.33,126.80,-89.33,89.05,0.48,-6916,-8539,2739,0,NA,0
13.87,89.55,119.03,-89.55,87.74,0.50,-7947,-9603,3347,0,NA,0
12.26,88.84,118.84,-88.84,88.74,0.55,-8554,6262,-11117,0,NA,0
-2.19,89.39,120.44,-89.39,-77.06,0.75,-15121,4945,-14903,0,NA,0
-12.08,89.19,132.42,-89.19,-87.45,0.50,2783,9338,-10847,0,NA,0
-22.82,89.17,140.79,-89.17,-86.61,0.52,-6207,909,-8668,0,NA,0
-37.70,87.61,125.14,-87.61,-89.09,1.65,-7079,4215,-4354,0,NA,0
-54.09,-89.49,34.43,89.49,-88.72,1.49,-5410,15115,-5831,0,NA,0
-54.81,89.89,152.25,-89.89,-89.58,1.12,2565,6369,-758,0,NA,0
-29.38,89.63,136.11,-89.63,-88.81,0.69,3575,-957,267,0,NA,0
-34.63,89.42,134.49,-89.42,-88.68,0.72,715,8046,-8686,0,NA,0
-41.84,88.99,134.12,-88.99,-88.68,1.11,-484,9229,-5273,0,NA,0
-55.01,88.75,137.18,-88.75,-89.29,0.65,1255,2569,-186,0,NA,0
-52.69,89.24,146.25,-89.24,-89.09,1.32,2594,2849,360,0,NA,0
-43.58,89.62,138.61,-89.62,-89.10,0.64,-272,3476,-3719,0,NA,0
-47.81,89.41,139.19,-89.41,-89.85,1.04,1041,5185,-3577,0,NA,0
-69.97,89.60,158.08,-89.60,-89.29,1.68,-23,-1640,-637,0,NA,0
-46.45,89.38,141.99,-89.38,-89.10,0.98,744,641,-1240,0,NA,0
-53.30,89.18,141.79,-89.18,-88.96,1.07,2021,2121,-943,0,NA,0
-47.01,89.24,141.58,-89.24,-89.10,0.94,416,2549,-1793,0,NA,0
-51.39,89.14,141.13,-89.14,-89.45,1.07,3,-253,-248,0,NA,0
-50.08,89.52,137.60,-89.52,-89.23,0.59,-719,2191,-1940,0,NA,0
-45.73,89.42,144.29,-89.42,-89.42,0.84,-3131,-3534,-919,0,NA,0
-48.04,89.27,139.87,-89.27,-89.51,1.12,-165,38,347,0,NA,0
-48.37,89.20,137.16,-89.20,-88.99,0.86,345,1406,-253,0,NA,0
-56.18,88.95,139.93,-88.95,-89.52,0.77,710,3221,-107,0,NA,0
-53.39,89.29,143.62,-89.29,-89.74,1.20,305,2459,321,0,NA,0
-45.99,89.34,144.57,-89.34,-89.02,1.17,-162,3304,-3632,0,NA,0
-54.83,89.08,143.04,-89.08,-89.26,1.11,741,6214,-9610,0,NA,0
-64.89,89.20,143.40,-89.20,-89.34,1.59,1081,8615,-11518,0,NA,0
-60.56,89.05,143.84,-89.05,-89.40,0.48,470,3786,-3915,0,NA,0
-61.66,89.11,150.55,-89.11,-89.44,0.63,-194,2927,-4758,0,NA,0
-56.18,89.16,147.14,-89.16,-89.13,0.75,-350,1483,-1365,0,NA,0
-53.33,89.09,144.81,-89.09,-89.85,0.76,465,8,1414,0,NA,0
-62.92,89.23,143.29,-89.23,-89.40,0.84,850,1797,1428,0,NA,0
-68.31,89.79,153.82,-89.79,-89.54,1.20,1115,-78,997,0,NA,0
-52.74,89.28,142.98,-89.28,-88.86,0.25,-1472,80,-394,0,NA,0
-56.21,88.36,131.71,-88.36,-89.16,0.29,-2497,975,721,0,NA,0
-55.89,89.18,141.65,-89.18,-89.08,0.77,-1310,1239,6374,0,NA,0
-54.70,89.46,152.40,-89.46,-89.39,0.72,-3017,-1530,7834,0,NA,0
-64.09,89.10,152.19,-89.10,-89.54,1.93,-610,1166,8666,0,NA,0
-54.62,89.34,152.31,-89.34,-89.15,0.97,-1643,332,11595,0,NA,0
-47.80,89.75,140.92,-89.75,-89.14,0.92,502,-642,22241,0,NA,0
-59.96,89.49,162.20,-89.49,-89.39,0.71,1917,-2371,10879,0,NA,0
-28.61,89.70,135.25,-89.70,-88.97,0.63,5450,-4749,9612,0,NA,0
-4.37,89.36,145.45,-89.36,-77.35,0.71,2753,-2522,16996,0,NA,0
-0.72,89.48,150.38,-89.48,-69.62,0.53,447,1687,6392,0,NA,0
-13.97,89.49,154.39,-89.49,-84.57,0.50,3072,-867,17719,0,LEFT,-1
3.53,89.46,144.87,-89.46,75.54,0.48,3627,-2198,25054,0,LEFT,-1
12.11,89.52,157.78,-89.52,85.45,1.04,2241,-2782,19172,0,LEFT,-1
17.94,89.29,146.10,-89.29,86.32,1.00,762,-785,6200,0,LEFT,-1
14.71,89.22,142.95,-89.22,85.73,0.56,2227,-328,13741,0,LEFT,-1
28.56,89.61,152.54,-89.61,88.15,0.68,-1405,-6108,7046,0,LEFT,-1
41.48,89.70,123.87,-89.70,89.10,0.71,3980,2653,15307,0,LEFT,-1
37.24,89.35,114.66,-89.35,89.07,0.66,4817,8575,6517,0,LEFT,-1
48.38,88.89,109.36,-88.89,89.57,0.40,-2716,-5262,8502,0,LEFT,-1
124.99,87.48,-127.21,-87.48,88.48,177.87,-533,-5352,675,0,LEFT,-1
73.74,89.22,149.35,-89.22,89.67,1.39,347,-1609,10395,0,LEFT,-1
50.46,89.08,113.03,-89.08,89.40,0.71,2136,2850,7287,0,LEFT,-1
48.08,88.38,119.79,-88.38,89.78,0.99,1092,-87,799,0,LEFT,-1
77.59,89.26,159.37,-89.26,88.85,5.04,886,-2166,12451,0,LEFT,-1
56.43,79.52,96.17,-79.52,89.47,1.25,-592,652,1154,0,LEFT,-1
52.59,-86.78,70.50,86.78,89.22,1.04,1495,801,10697,0,LEFT,-1
53.19,86.61,108.19,-86.61,89.26,1.08,4801,828,6449,0,LEFT,-2
59.59,83.08,103.51,-83.08,89.04,0.23,9941,-1511,4364,0,LEFT,-2
61.10,87.53,109.81,-87.53,89.19,1.20,9258,52,12458,0,LEFT,-2
79.12,-89.14,10.02,89.14,89.21,5.60,13035,-396,24002,0,LEFT,-3
63.57,-89.35,64.87,89.35,89.63,0.54,5383,2082,23322,0,LEFT,-3
71.38,-88.82,43.85,88.82,89.65,0.76,91,1740,20827,0,LEFT,-3
54.84,81.33,92.62,-81.33,89.48,0.65,5367,5295,32581,0,LEFT,-4
114.40,-88.11,-32.75,88.11,88.89,178.82,5864,6197,23473,0,LEFT,-4
84.48,-89.37,4.30,89.37,89.28,2.18,649,7117,21111,0,LEFT,-5
127.35,-89.61,-41.44,89.61,89.27,179.05,8912,12585,32767,0,LEFT,-5
20.46,-89.76,64.74,89.76,89.80,0.13,5107,10983,32767,0,LEFT,-5
129.22,-89.71,-14.52,89.71,89.23,179.40,4095,16006,19163,0,LEFT,-5
41.84,-89.44,23.17,89.44,88.49,1.67,1551,2512,27119,0,LEFT,-5
79.19,-89.61,2.38,89.61,88.46,13.17,4048,4105,21426,0,RIGHT,-4
21.13,-89.42,10.99,89.42,87.63,1.72,4469,2044,10380,0,RIGHT,-4
24.91,-89.58,30.67,89.58,88.84,0.78,3258,-375,4907,0,RIGHT,-4
20.45,-89.72,28.19,89.72,88.91,1.36,1827,-285,674,0,RIGHT,-4
22.23,-89.81,29.41,89.81,87.90,0.79,2371,-387,-2794,0,RIGHT,-4
24.97,-89.30,27.98,89.30,86.92,0.79,904,-341,-3506,0,RIGHT,-4
21.24,-89.49,27.34,89.49,86.96,0.91,1120,-1821,-7171,0,RIGHT,-4
28.66,-89.52,36.30,89.52,88.69,0.60,457,-2848,-8207,0,RIGHT,-4
42.38,-89.38,24.89,89.38,89.55,1.29,41,-4702,-15655,0,RIGHT,-4
46.13,-89.63,16.62,89.63,88.33,0.26,1138,-8131,-16913,0,RIGHT,-4
58.33,-89.50,13.12,89.50,89.04,2.04,1837,-8011,-17825,0,RIGHT,-4
55.58,-89.82,14.96,89.82,89.17,0.45,1834,-9544,-18582,0,RIGHT,-3
59.43,-89.38,21.31,89.38,89.18,1.08,2892,-8140,-21035,0,RIGHT,-3
82.54,-89.30,7.91,89.30,89.52,3.90,6397,-9717,-21100,0,RIGHT,-2
68.33,-85.44,78.51,85.44,89.39,0.87,-1224,-2597,-31242,0,RIGHT,-2
76.89,-89.13,18.84,89.13,89.63,1.50,6759,-7158,-19052,1,RIGHT,0
70.18,-89.01,43.44,89.01,89.56,1.13,2831,-5659,-24190,0,RIGHT,1
71.30,-88.10,51.41,88.10,89.50,1.12,6171,-5523,-29071,0,RIGHT,1
78.09,-88.86,29.98,88.86,89.75,1.38,5784,-5891,-24798,0,RIGHT,2
70.89,-75.62,85.93,75.62,89.30,1.96,4271,-2519,-21940,0,RIGHT,2
84.62,-84.57,55.49,84.57,89.60,6.57,10518,-5006,-29910,0,RIGHT,3
139.77,-85.39,-82.86,85.39,89.42,179.31,10365,1565,-22371,0,RIGHT,4
91.92,89.61,-174.31,-89.61,89.33,161.12,7119,-2214,-23002,0,RIGHT,5
96.93,89.83,-170.90,-89.83,89.65,174.10,4926,454,-16095,0,RIGHT,5
117.64,89.20,-155.59,-89.20,89.01,178.79,1905,-816,-11689,0,RIGHT,6
114.64,89.40,-163.12,-89.40,89.03,178.77,1147,-1761,-9888,0,RIGHT,6
119.15,89.30,-163.16,-89.30,88.60,177.34,-403,-915,-3808,0,RIGHT,6
116.12,89.28,-162.85,-89.28,89.25,178.98,-3261,-1111,5196,0,RIGHT,6
128.57,89.51,-152.06,-89.51,89.05,178.30,-5059,1194,17479,0,RIGHT,6
85.38,89.23,175.55,-89.23,89.22,8.57,-7902,2469,23634,0,LEFT,5
174.53,89.39,-103.05,-89.39,85.46,179.58,-9933,2261,26395,0,LEFT,5
128.34,89.37,-134.52,-89.37,89.38,178.93,-7960,689,21565,0,LEFT,5
138.75,-89.81,-17.41,89.81,89.80,179.43,-9142,5032,23816,0,LEFT,5
158.75,-88.63,-77.28,88.63,88.76,179.85,-10752,2088,28719,0,LEFT,5
85.61,-79.34,65.15,79.34,89.77,4.51,-10946,6095,28798,0,LEFT,4
93.51,-88.05,-26.92,88.05,89.85,176.17,-6899,5891,21461,0,LEFT,3
66.64,-88.10,55.11,88.10,89.53,1.43,-6087,5367,20953,0,LEFT,3
92.46,-88.53,-8.52,88.53,89.36,170.40,-2950,5416,21220,0,LEFT,3
89.12,-88.62,1.77,88.62,89.31,36.18,-1381,6188,20797,0,LEFT,2
82.74,-88.65,13.53,88.65,89.47,4.67,-1051,6783,19184,0,LEFT,2
74.84,-88.98,20.91,88.98,89.72,2.62,-1155,7021,16543,0,LEFT,1
78.83,-89.24,15.96,89.24,89.54,2.50,-690,6600,16789,0,LEFT,1
75.82,-89.26,19.97,89.26,89.24,2.51,-1984,6299,15492,0,RIGHT,2
52.84,-89.36,33.13,89.36,88.50,2.09,-8887,6183,20234,0,RIGHT,2
2.94,-89.53,38.63,89.53,66.38,1.05,-16015,6399,30075,0,RIGHT,2
34.17,-89.51,27.31,89.51,87.68,1.26,-20952,-1489,32767,0,RIGHT,2
35.92,-89.47,32.76,89.47,89.10,1.00,-6219,-680,32767,0,RIGHT,2
-7.03,-89.23,40.22,89.23,-86.71,0.70,449,12997,27980,0,RIGHT,2
-17.62,-89.23,50.11,89.23,-87.87,0.34,15052,28139,16310,0,RIGHT,2
-39.26,-89.45,27.96,89.45,-88.87,0.36,13255,32767,5042,0,RIGHT,2
-17.75,-89.28,56.72,89.28,-89.02,0.43,13171,21842,5562,0,RIGHT,2
-23.41,-89.29,67.88,89.29,-89.05,0.16,11057,17991,3819,0,RIGHT,2
-15.33,-89.22,62.40,89.22,-88.68,0.38,4339,14924,2455,0,RIGHT,2
-15.11,-88.90,73.44,88.90,-88.62,0.28,5773,12753,-4005,0,RIGHT,2
45.00,-90.00,45.00,90.00,90.00,0.00,-3783,14694,-6015,0,RIGHT,2
-8.15,-88.81,81.05,88.81,-86.28,0.49,807,5094,476,0,RIGHT,2
-8.07,-88.73,84.30,88.73,-85.80,0.45,1880,7926,-1918,0,RIGHT,2
168.80,86.60,-105.15,-86.60,82.94,179.58,4984,-3231,-5563,0,RIGHT,2
-4.04,-85.89,84.13,85.89,-84.75,0.53,-99,350,-1737,0,RIGHT,2
-3.44,89.66,112.40,-89.66,-86.58,0.25,-8670,-768,2132,1,RIGHT,2
-0.14,-86.64,86.12,86.64,-36.25,0.15,-1100,30,14,0,RIGHT,2
-22.14,-89.30,61.42,89.30,-88.58,0.60,3935,3960,-35,1,RIGHT,0
-4.05,-77.24,88.11,77.24,-81.33,0.18,371,372,-45,0,RIGHT,0
-1.62,-85.10,85.43,85.10,-81.70,0.31,77,248,-9,0,RIGHT,0
-1.18,-82.89,85.15,82.89,-61.68,0.58,75,297,-4,0,RIGHT,0
-1.26,-84.41,85.40,84.41,-64.96,0.18,34,282,4,0,RIGHT,0
-1.37,-81.93,85.69,81.93,-74.57,0.50,90,290,10,0,RIGHT,0
-1.73,-82.15,85.43,82.15,-73.45,0.29,99,268,-15,0,RIGHT,0
-1.56,-84.82,85.71,84.82,-69.24,0.54,188,230,34,0,RIGHT,0
-1.44,-88.80,85.15,88.80,-69.28,0.59,101,235,4,0,RIGHT,0
-0.49,-81.01,86.61,81.01,-51.55,0.59,172,73,3,0,RIGHT,0
19.40,89.69,105.56,-89.69,89.36,0.24,-3174,-2231,193,0,RIGHT,0
-2.50,-74.25,87.73,74.25,-80.75,0.38,308,345,-34,0,RIGHT,0
-1.13,-89.08,84.64,89.08,-70.80,0.43,77,172,23,0,RIGHT,0
-10.42,86.98,103.04,-86.98,-85.05,0.53,706,-2342,-683,1,RIGHT,0
-4.60,-85.80,80.93,85.80,-82.91,0.29,405,204,-595,0,RIGHT,0
1.39,84.02,93.27,-84.02,68.84,0.40,-1026,-41,-1797,1,RIGHT,0
-1.32,-85.20,83.86,85.20,-78.33,0.44,-90,1020,-46,0,RIGHT,0
-2.48,-82.95,86.82,82.95,-76.23,0.59,75,243,39,0,RIGHT,0
-2.08,-87.34,82.11,87.34,-82.77,0.44,279,13,54,0,RIGHT,0
4.35,-5.17,89.96,5.17,85.77,0.34,572,-1472,14,0,RIGHT,0
0.00,-88.71,86.52,88.71,0.00,0.00,-1,7,9,0,RIGHT,0
-0.28,-84.69,84.88,84.69,-37.71,0.22,-323,496,51,0,RIGHT,0
-4.16,-85.21,85.50,85.21,-84.69,0.58,223,695,-72,0,RIGHT,0
-0.89,-83.58,86.13,83.58,-68.83,0.16,15,249,-8,0,RIGHT,0
